amenity,addr:county,addr:district,operator:type,fees,photo,source,operational_status,drinking_water,water:system,pump,name,latitude,longitude,install_year
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F9809a1fb-1597-40c7-b1c5-cd3b76b7fcf0%2F1652962308947.jpg,youthmappers_gulu,functional_in_use,yes,combined,no,rainwater_harvest_tank,2.8016226,32.3490874,9/28/2018
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fff2dd2b2-a9a1-4b95-ad51-fbfbbbca9448%2F1653036965474.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.822771,32.3397103,
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F6357bdc7-ee40-46ac-b1cc-873d4337c6a5%2F1652873583514.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7913527,32.3473377,
water_point,aswa,gulu,community,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ff3c6358d-de8b-4f73-a9b2-2862b538c71e%2F1653305663042.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,protected_spring,2.7816867,32.2346283,9/23/2009
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F0dd88802-a80d-4dd2-9435-cbc07f2a14b5%2F1653394784753.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8123188,32.2336842,1/4/2017
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F51f20d88-79f5-4f43-b539-23d7d6dffbb8%2F1652878455261.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8326618,32.3562517,5/18/2022
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F4d958c5e-1da3-40ee-9dff-339a1bc98cd3%2F1652965736231.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,tap,2.7986717,32.3489217,2/5/2018
water_point,aswa,gulu,community,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fce3e074e-ddbf-4443-a63b-86d4af11643b%2F1653300702092.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.7675855,32.2417461,
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fda69946e-6aab-4663-a0ea-e5dda9d930e3%2F1652868897571.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7920402,32.3465438,
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ff106fb28-9076-4779-9155-54516a577161%2F1653309636210.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,rainwater_harvest_tank,2.7996712,32.2505215,7/5/2020
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ff580aa42-325a-45ff-b6a3-411682aa5d99%2F1652964512108.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.7985884,32.35988,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fbf17ebdd-05e2-4564-b1df-ea8ae584ee9d%2F1653041787005.jpg,youthmappers_gulu,functional_not_in_use,yes,groundwater,yes,tap,2.8191794,32.3370323,
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F5704dc12-e262-49ba-b85a-7a7bf7ca3615%2F1652961035852.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,tap,2.8021936,32.3483638,1/26/2014
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fe1c11569-8df0-4328-8739-6bde44f3fbd2%2F1653035967852.jpg,youthmappers_gulu,non_functional,yes,surfacewater,no,rainwater_harvest_tank,2.8471409,32.3191712,5/20/2015
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fa833824c-0d1a-4339-9be7-01f9cb9ea71f%2F1652866848774.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7911132,32.3455688,
water_point,aswa,gulu,community,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F95c95582-343c-4730-9f21-80b540c72918%2F1652872639177.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.816469,32.3380135,5/18/2014
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F492b5677-0da5-44b4-a18d-1f1f6f7d6ad6%2F1653393587498.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8091476,32.2357622,4/14/2007
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ff1bf51bb-0409-486d-818c-cdb95dafc9f6%2F1652973581163.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.7916865,32.3489849,5/27/2021
